,id,name,hazardous,distance,orbiting body,velocity,date,diameter
10261,3653189,(2013 UR3),False,150535578.0337788818,Juptr,17685.2292911567,1959-08-13,1.4702492252
10262,3653190,(2013 US3),True,41270129.0957324092,Earth,13889.276814131,1901-08-09,0.2020184149
10263,3653191,(2013 UT3),False,576533.613992701,Earth,37197.4957169891,2013-10-21,0.0140407711
10264,3653193,(2013 UV3),False,2390126.4127556762,Earth,38532.060163104,1976-05-19,0.0161209622
10265,3653214,(2013 UR4),False,11189044.122706515,Earth,12841.5025191247,2013-10-28,0.0404940262
10266,3653215,(2013 US4),False,4795530.6141888048,Earth,12855.2624974148,1964-10-15,0.0207678223
10267,3653213,(2013 UT4),False,26757522.3282704144,Earth,27915.1479409533,1906-05-02,0.0227714643
10268,3653216,(2013 UU4),False,8575354.9808300196,Earth,45721.7516400443,2013-10-25,0.0585316759
10269,3653248,(2013 UF5),False,17538914.4062326146,Earth,24694.4161334015,1919-12-16,0.0464933628
10270,3653250,(2013 UH5),False,1431374.7545747028,Mars,18303.9603028707,1997-06-18,0.0558973165
10271,3653251,(2013 UJ5),False,916500.2139946978,Earth,24368.8471941558,2013-10-20,0.0091915967
10272,3653252,(2013 UK5),False,6095256.2530325582,Earth,13656.1970876322,2013-09-24,0.0509789586
10273,3653253,(2013 UL5),False,15359857.2112906814,Earth,47744.9981988404,1900-03-31,0.0771597762
10274,3653254,(2013 UM5),False,4982525.1241463824,Earth,43635.5067364855,2013-11-05,0.0612901888
10275,3653255,(2013 UN5),False,25553408.2706908228,Earth,23167.9892417285,1969-11-01,0.0846040122
10276,3653256,(2013 UO5),False,25293528.2844918008,Earth,4662.8294232506,2013-10-07,0.0846040122
10277,3653257,(2013 UP5),False,12914859.432441074,Earth,18250.8821216431,2013-10-26,0.0703705522
10278,3653258,(2013 UQ5),False,2147203.0063860472,Earth,19733.9527876003,2013-10-14,0.0276306409
10279,3653259,(2013 UR5),False,7192567.4731094882,Earth,19920.9183534756,1900-10-24,0.0898237039
10280,3653305,(2013 UQ8),False,881543.4209107886,Moon,24498.1803439048,1950-07-22,0.0280150214
10281,3653304,(2013 UR8),False,18573226.120878748,Earth,16927.552757754,2013-10-22,0.1115298092
10282,3653306,(2013 US8),False,36652789.5096425654,Earth,33025.892837323,1975-08-30,0.0369309908
10283,3653320,(2013 UG9),False,45281413.51226943,Earth,36189.1491235843,1997-10-08,0.7368701419
10284,3653321,(2013 UH9),False,181256821.3097971072,Juptr,13833.3956234337,1900-04-16,0.7004722892
10285,3653324,(2013 UJ9),False,1170266.5990844864,Earth,20764.0893012163,2013-11-01,0.0185093411
10286,3653323,(2013 UK9),False,2544067.390461614,Earth,21332.2944650615,2013-10-25,0.021251567
10287,3653319,(2013 UL9),False,10096983.3533066248,Earth,17750.1247208827,2013-10-31,0.0509789586
10288,3653322,(2013 UM9),False,33820013.665206924,Earth,38385.7648636102,1918-05-20,0.0444008168
10289,3653343,(2013 UG10),False,12014819.8325728562,Earth,27308.4770320532,2013-10-13,0.1065101409
10290,3653344,(2013 UJ10),False,7314321.9080707676,Earth,16481.949014329,2013-10-15,0.0321655483
10291,3653388,(2013 UV10),False,24249933.8078513148,Earth,21949.7424669272,1905-03-11,0.4240245083
10292,3655374,(2013 UX14),False,18874457.3021696774,Earth,23773.8118162693,1906-10-27,0.8421529208
10293,3653389,(2013 VK),False,5847209.0482715644,Mars,22775.6449769321,1927-11-13,0.0444008168
10294,3653390,(2013 VL),False,40391495.8887179656,Earth,48057.8588086227,1959-05-05,0.0106510141
10295,3653410,(2013 VG2),False,37751738.480883087,Earth,53148.9336756968,1962-10-09,0.0193816595
10296,3653411,(2013 VH2),False,2037061.7168843792,Earth,18299.2935903691,2013-11-07,0.0122290004
10297,3653413,(2013 VJ2),False,44023188.7087740828,Earth,48760.5380999132,2011-11-18,0.1767628354
10298,3653412,(2013 VK2),False,31501078.915882502,Earth,13178.9451795577,1918-08-30,0.4201370282
10299,3653414,(2013 VL2),False,120714325.258372145,Juptr,14240.9521459287,1910-07-08,0.1310361001
10300,3653415,(2013 VM2),False,42431204.8475235158,Earth,43338.3314397778,2003-08-16,0.0533815229
10301,3653469,(2013 VM4),False,44371118.1169163934,Earth,7454.1048122929,1904-01-19,0.2960676518
10302,3653470,(2013 VN4),False,42150807.2840009498,Earth,29483.648875654,1927-10-28,0.1688071972
10303,3653468,(2013 VO4),False,26774792.689718541,Earth,29820.6497941751,2012-01-15,0.0140407711
10304,3653471,(2013 VP4),False,6284948.7959637052,Earth,20578.3488749526,2013-10-10,0.0509789586
10305,3653472,(2013 VQ4),False,43503816.4364517036,Earth,47137.5696533488,1900-12-17,0.1553785124
10306,3653521,(2013 VV4),False,140142186.3903330898,Juptr,13398.4812579024,1911-03-02,0.4162851888
10307,3653522,(2013 VW4),False,2575879.795382703,Earth,26473.5248235063,2013-10-27,0.0255500032
10308,3653519,(2013 VX4),False,37187556.3510214748,Earth,42963.5584250353,1930-10-06,0.0621428203
10309,3653520,(2013 VZ4),False,39554092.2813056008,Earth,50803.3513560892,1993-06-11,0.097138403
10310,3653536,(2013 VK5),False,45600921.3852686614,Earth,55663.7859648625,1903-06-12,0.2933532873
10311,3653535,(2013 VL5),False,16969008.4203651658,Earth,33947.5479362631,2005-11-21,0.020295089
10312,3653534,(2013 VM5),False,91271245.3321616562,Juptr,9889.3686262336,1933-03-24,0.0267541378
10313,3653555,(2013 VN5),False,411039.2521148292,Moon,23439.0888508979,2013-11-03,0.0122290004
10314,3653537,(2013 VO5),True,2597870.0994274468,Merc,54297.9826127213,1900-10-04,0.1974199144
10315,3653599,(2013 VY9),False,4412968.2895818502,Earth,22985.0778293603,2013-10-26,0.0672033557
10316,3653600,(2013 VZ9),False,44902775.4006729908,Earth,5462.227083266,1957-10-02,0.3744475206
10317,3653602,(2013 VA10),False,41994212.0648016492,Earth,37482.5039431415,1901-02-08,0.1274650026
10318,3653601,(2013 VB10),False,14350705.1567816036,Earth,30189.4460527669,2013-11-02,0.1065101409
10319,3653603,(2013 VC10),False,36554589.1742503678,Earth,38061.4642432161,1962-11-10,0.0404940262
