,id,Asteroid Name,Potentially Hazardous,Miss Distance (miles),Orbiting Body,Close Approach Velocity (mph),Date,Max Diameter (miles)
5009,3337734,(2006 OT9),False,31036530.96,Earth,19528.7,1900-08-23,0.38
5010,3337735,(2006 OE10),False,8857568.06,Earth,13854.5,1900-06-26,0.04
5011,3337834,(2006 OG15),False,34791550.03,Earth,48026.27,1900-12-19,0.4
5012,3337992,(2006 PA1),True,3434235.79,Mars,29260.49,1907-09-01,0.4
5013,3337993,(2006 PB1),False,136059531.69,Juptr,10336.74,1910-06-03,0.53
5014,3337999,(2006 PF1),False,112264578.20,Juptr,18328.2,1901-08-10,0.45
5015,3338136,(2006 PY17),True,14652176.01,Earth,48987.85,1904-09-15,0.53
5016,3338022,(2006 QA),False,86238548.97,Juptr,8951.73,2004-04-22,0.08
5017,3338034,(2006 QE),False,27367736.43,Earth,49322.88,1901-03-21,0.43
5018,3338137,(2006 QX5),False,13543082.70,Earth,11618.09,1907-08-22,0.06
5019,3338138,(2006 QY5),False,23230230.93,Earth,2930.77,1904-09-29,0.2
5020,3338368,(2006 QQ23),True,37803446.33,Earth,31122.54,1901-01-13,0.41
5021,3338369,(2006 QS23),False,33032431.15,Earth,39588.3,1900-02-06,0.35
5022,3338519,(2006 QB31),False,11347565.27,Earth,46883.74,1923-08-21,0.23
5023,3338813,(2006 QK33),False,5219119.62,Earth,25218.41,2006-08-23,0.06
5024,3338814,(2006 QM33),False,30778369.27,Earth,48190.17,1905-08-30,0.25
5025,3339081,(2006 QK40),False,3128331.53,Earth,28706.76,2006-08-18,0.06
5026,3339082,(2006 QQ56),False,17193209.85,Earth,14329.31,1928-11-09,0.02
5027,3339218,(2006 QZ57),False,8373979.09,Mars,49852.66,2006-03-27,0.11
5028,3339220,(2006 QB58),False,9416746.44,Earth,13578.78,2006-08-01,0.06
5029,3342315,(2006 QJ65),False,98533520.26,Juptr,10788.1,1911-12-17,0.15
5030,3339595,(2006 QE89),False,9039900.72,Earth,36886.89,2006-08-25,0.24
5031,3339664,(2006 QS89),False,28012369.42,Earth,19172.62,1904-09-14,0.22
5032,3339666,(2006 QU89),False,28255993.09,Earth,17106.22,1915-03-26,0.24
