,id,Asteroid Name,Potentially Hazardous,Miss Distance (miles),Orbiting Body,Close Approach Velocity (mph),Date,Max Diameter (meters)
30166,54318594,(2022 UQ5),False,37126507.6347265554,Earth,39449.0580008058,1994-10-15,231.2277636011
30167,54318593,(2022 UR5),False,5923391.0534435092,Mars,34198.7044248425,1937-01-12,501.2333723065
30168,54318596,(2022 US5),False,32110155.4558844848,Earth,30527.5881627548,1900-09-24,27.9280091938
30169,54318597,(2022 UT5),False,1667982.622642144,Earth,20976.6220730936,2022-10-28,33.422580561
30170,54319144,(2022 UV5),False,37532636.0502015658,Earth,38644.1564237519,1906-10-13,43.655601735
30171,54319145,(2022 UW5),False,7214953.490020374,Earth,8860.3368551121,2022-10-03,38.1979432159
30172,54319147,(2022 UX5),False,44239306.375002847,Earth,53536.3155092081,2014-11-03,84.7305408852
30173,54319148,(2022 UY5),False,573125.3150010662,Earth,17353.330353067,1988-10-28,20.9913310944
30174,54319149,(2022 UZ5),False,1082468.3065466874,Earth,21065.2547486901,2022-11-02,78.3501764334
30175,54319150,(2022 UA6),False,482518.623061234,Moon,28583.2348811339,2022-10-20,14.4557283615
30176,54319151,(2022 UB6),False,42501030.4510209552,Earth,81147.2184689528,2009-10-26,405.5458660645
30177,54319152,(2022 UC6),False,10626135.6825942954,Earth,44626.4064820247,1902-12-24,532.1572444975
30178,54319153,(2022 UD6),False,24498679.612676721,Earth,35076.9936376921,1990-10-13,34.3589575421
30179,54319155,(2022 UE6),False,27944548.4315799932,Earth,7003.0684132482,1977-10-19,136.7854737026
30180,54319154,(2022 UF6),False,22144429.2050837462,Earth,43465.663247149,2012-09-28,137.4168467624
30181,54319156,(2022 UG6),False,394693.4012264368,Earth,31990.2645348712,2022-10-14,15.4184237999
30182,54319157,(2022 UH6),False,33721407.2244894736,Earth,15145.872266282,1942-10-11,170.6239448846
30183,54319158,(2022 UJ6),False,26676716.3294848056,Earth,19235.4547038874,1912-11-21,93.7648317729
30184,54319159,(2022 UK6),False,9450304.0610896846,Earth,25028.9848415207,2016-05-09,25.7063241024
30185,54319161,(2022 UL6),False,2994701.3633493358,Earth,9765.5246597155,1921-11-08,70.4757942143
30186,54319160,(2022 UM6),False,8348396.0183811844,Earth,16842.9339658293,2022-10-03,45.502994579
30187,54319162,(2022 UN6),False,1827027.8780201866,Earth,18127.7470816601,2022-10-08,48.3103271838
30188,54319163,(2022 UO6),False,2730778.6361915678,Earth,25690.246505764,2022-11-06,62.8116177092
30189,54319164,(2022 UP6),False,34624856.26670574,Earth,40907.1139063291,1980-05-08,13.7416846762
30190,54319166,(2022 UQ6),False,1321179.2160646532,Earth,21857.6302792687,1934-10-22,8.8723768253
30191,54319167,(2022 UR6),False,13986657.7975004708,Earth,30244.123909266,2022-10-20,112.2121745938
30192,54319165,(2022 US6),False,4586464.0734418482,Mars,19175.9376110588,1929-11-29,32.6617897446
30193,54319168,(2022 UU6),False,7642495.8370650252,Earth,38263.9463626876,2022-10-09,194.1064553155
30194,54319169,(2022 UW6),False,33198357.769211024,Earth,31984.6683427785,1988-08-29,46.1360042888
30195,54319451,(2022 UA7),False,10171540.6954924628,Earth,15247.8821892788,2022-10-25,57.5492911629
30196,54319452,(2022 UB7),False,18246724.243740496,Earth,36511.3343020349,1904-10-20,92.0534307207
30197,54319453,(2022 UC7),False,39635508.85100734,Earth,44276.6403920741,2005-01-03,17.1411509231
30198,54319454,(2022 UD7),False,2081447.8911554448,Earth,34078.5449250648,1911-10-23,39.6314515123
30199,54319455,(2022 UK7),True,39682025.423622636,Earth,64061.5054339173,1901-04-07,238.8031101878
30200,54319459,(2022 UM7),False,25392576.757953523,Earth,36813.2495612811,1900-08-12,21.9806220506
30201,54319458,(2022 UN7),False,30137403.7074971484,Earth,57306.1677615051,2016-04-17,242.1251923687
30202,54319457,(2022 UO7),False,20415160.3082888692,Earth,12847.7615954985,1922-12-01,173.7960808552
30203,54319460,(2022 UP7),False,13666468.4561918728,Earth,12293.0567476799,1934-10-18,25.0057554041
30204,54319461,(2022 UQ7),False,18800875.2801871332,Earth,38592.1617243807,1948-10-13,30.2022973344
30205,54319462,(2022 UR7),False,33091088.5631340798,Earth,32649.9206718445,1913-12-18,52.9712204056
30206,54319464,(2022 UU7),False,4723573.218010045,Earth,26069.1842153605,2022-10-10,112.2121745938
30207,54319463,(2022 UV7),False,28293138.2535416114,Earth,48807.0289879586,2019-02-12,7.4823837607
30208,54319880,(2022 UZ7),False,29638490.8407549184,Earth,23764.3699767922,1922-11-02,270.4207287184
30209,54319883,(2022 UA8),False,26798218.9750543728,Earth,34522.9270299718,2020-06-27,67.6145214758
30210,54319882,(2022 UB8),False,21194493.8101847144,Earth,57763.4102481215,2020-04-23,19.4106455316
30211,54319884,(2022 UC8),False,17124313.8033915716,Earth,29864.371999489,1931-12-04,15.4895920106
30212,54319881,(2022 UD8),False,26186154.7982652276,Earth,28240.9393197182,1901-09-02,81.290534434
30213,54320171,(2022 UF8),False,16043147.3614990754,Earth,43758.2084843475,1902-10-03,398.1438198091
30214,54320172,(2022 UG8),False,11290239.3547343236,Earth,45898.5394537322,2022-10-12,115.8884031771
30215,54320173,(2022 UH8),False,12637490.6851277284,Earth,13027.4366810035,2022-09-23,81.290534434
